d,T,fwd_ms,mem_before_bwd_mib,bwd_ms,peak_mib,status
16,256,0.10281542257871479,20.89892578125,0.6924169108970091,29.0244140625,success
16,1024,0.15774507483001798,82.84423828125,0.6463278434239328,211.3447265625,success
16,4096,1.7365023482125252,1050.62548828125,4.032013000687584,3100.6259765625,success
16,8192,7.034951249952428,4133.00048828125,15.055876570986584,12329.0009765625,success
16,16384,26.67786408914253,16441.75048828125,57.204342413460836,49217.7509765625,success
32,256,0.10322147863917053,21.52392578125,0.6780557689489797,29.7744140625,success
32,1024,0.16290800005663186,85.34423828125,0.6938120402628556,214.3447265625,success
32,4096,1.823293409543112,1060.62548828125,4.120940781431273,3112.6259765625,success
32,8192,7.368677567574196,4153.00048828125,15.358791577164084,12353.0009765625,success
32,16384,28.181268860353157,16481.75048828125,58.699655874515884,49265.7509765625,success
64,256,0.10446284140925854,22.77392578125,0.7232368091354147,31.2744140625,success
64,1024,0.18227168126031756,90.34423828125,0.6916618614923209,220.3447265625,success
64,4096,2.1411895629717037,1080.62548828125,4.72742012119852,3136.6259765625,success
64,8192,8.594219330698252,4193.00048828125,17.561832140781917,12401.0009765625,success
64,16384,33.18526593968272,16561.75048828125,68.61155073798727,49361.7509765625,success
128,256,0.10146802989766002,25.27392578125,0.7273458957206458,34.2744140625,success
128,1024,0.21730187931098044,100.34423828125,0.7532875763718039,232.3447265625,success
128,4096,2.6902425033040345,1120.62548828125,5.837859417079017,3184.6259765625,success
128,8192,10.884701440809295,4273.00048828125,22.397219431004487,12497.0009765625,success
128,16384,41.77602755720727,16721.75048828125,85.18828178755939,49553.7509765625,success
