d,T,fwd_ms,mem_before_bwd_mib,bwd_ms,peak_mib,status
16,256,9.49688496941235,20.90673828125,0.6341033900389448,25.0322265625,success
16,1024,15.84425543929683,82.87548828125,0.6603229595930316,208.75,success
16,4096,0.8140031102811918,1050.75048828125,1.9410693299141712,2076.7509765625,success
16,8192,3.11558534973301,4133.25048828125,6.476748851418961,8233.2509765625,success
16,16384,23.575267869164236,16442.25048828125,23.787310550105758,32834.2509765625,success
32,256,14.037981030996889,21.53173828125,0.5369031286682002,25.7822265625,success
32,1024,0.14748113870155066,85.37548828125,0.5459385699941777,150.3759765625,success
32,4096,1.0850549893802963,1060.75048828125,2.192353450518567,2088.7509765625,success
32,8192,4.010641140630469,4153.25048828125,8.076990378904156,8257.2509765625,success
32,16384,28.26522833900526,16481.75048828125,58.768369051103946,49265.7509765625,success
64,256,0.12809028063202277,22.78173828125,0.6009592791087925,27.2822265625,success
64,1024,0.17096165945986286,90.37548828125,0.5624054893269204,156.3759765625,success
64,4096,1.4040889823809266,1080.75048828125,2.828931710391771,2112.7509765625,success
64,8192,5.232943550508935,4193.25048828125,10.02822945069056,8305.2509765625,success
64,16384,33.30568141915137,16561.75048828125,68.70923586131539,49361.7509765625,success
128,256,0.13197979074902833,25.28173828125,0.575815950287506,30.2822265625,success
128,1024,0.2110230692778714,100.37548828125,0.6006339416489936,168.3759765625,success
128,4096,1.9619635309209116,1120.75048828125,3.9531935905688447,2160.7509765625,success
128,8192,7.529765571816824,4273.25048828125,14.867675110290293,8401.2509765625,success
128,16384,41.893917949928436,16721.75048828125,85.29852411680622,49553.7509765625,success
